age,revenus,situation_familiale,anciennete_emploi,duree_credit,montant_credit,taux_endettement,nombre_enfants,score_banque,historique_paiement,appetence_conso,appetence_immo,score_appetence,observations_forces,observations_faiblesses
56,6920,2,13,180,312572,0.76,4,430,0,,,0.54,Age Élevé (56),Taux endettement Élevé (1)
69,16683,1,13,172,139814,0.16,0,329,1,,,0.39,Taux endettement Faible (0); Age Élevé (69),N/A
46,16336,2,14,348,441252,0.76,4,309,0,,,0.46,Age Élevé (46),Taux endettement Élevé (1)
32,20596,0,2,262,185621,0.07,0,388,1,,,0.43,Taux endettement Faible (0),Age Faible (32)
60,7093,1,14,229,367523,0.48,2,729,0,,,0.48,Taux endettement Faible (0); Age Élevé (60),N/A
25,17905,0,18,335,75355,0.74,4,446,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (25)
38,29351,1,23,70,203191,0.19,0,426,0,,,0.43,Taux endettement Faible (0),Age Faible (38)
56,35981,1,19,74,492312,0.77,2,423,1,,,0.49,Age Élevé (56),Taux endettement Élevé (1)
36,13367,2,13,72,56257,0.17,2,640,1,,,0.46,Taux endettement Faible (0),Age Faible (36)
40,10285,2,7,55,123435,0.8,2,817,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (40)
28,21753,0,4,319,115866,0.47,3,350,1,,,0.44,Taux endettement Faible (0),Age Faible (28)
28,23485,2,18,314,419203,0.68,4,697,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (28)
41,17977,2,3,96,264559,0.92,4,613,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (41)
53,24874,2,13,120,424026,0.41,4,813,0,,,0.51,Taux endettement Faible (0); Age Élevé (53),N/A
57,12674,1,15,62,292455,0.23,4,801,0,,,0.49,Taux endettement Faible (0); Age Élevé (57),N/A
41,34038,2,19,347,122695,0.87,3,829,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (41)
20,34315,0,23,23,326622,0.16,4,718,1,,,0.37,Taux endettement Faible (0),Age Faible (20)
39,8676,1,5,277,175992,0.63,0,493,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (39)
19,7426,1,22,135,18738,0.92,2,611,1,,,0.52,N/A,Taux endettement Élevé (1); Age Faible (19)
41,29473,2,24,274,345568,0.67,3,598,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (41)
61,7962,1,5,85,334376,0.2,3,628,1,,,0.53,Taux endettement Faible (0); Age Élevé (61),N/A
47,34943,0,2,304,380544,0.15,4,775,0,,,0.39,Taux endettement Faible (0); Age Élevé (47),N/A
55,5859,0,14,315,277618,0.25,2,883,1,,,0.59,Taux endettement Faible (0); Age Élevé (55),N/A
19,9138,1,2,207,69026,0.39,0,416,1,,,0.41,Taux endettement Faible (0),Age Faible (19)
38,30640,2,10,230,76024,0.16,2,563,1,,,0.45,Taux endettement Faible (0),Age Faible (38)
50,15409,2,2,164,60974,0.8,1,816,1,,,0.48,Age Élevé (50),Taux endettement Élevé (1)
29,9017,1,9,209,427360,0.36,2,818,0,,,0.46,Taux endettement Faible (0),Age Faible (29)
39,15451,0,17,142,277766,0.94,0,320,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (39)
61,33327,1,0,78,455489,0.84,0,776,1,,,0.49,Age Élevé (61),Taux endettement Élevé (1)
42,15278,2,15,53,369510,0.91,0,848,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (42)
66,29944,2,15,23,243150,0.29,3,472,1,,,0.47,Taux endettement Faible (0); Age Élevé (66),N/A
44,6134,1,9,272,49214,0.57,3,361,1,,,0.59,Age Élevé (44),Taux endettement Élevé (1)
59,35131,0,0,345,103184,0.32,1,505,1,,,0.46,Taux endettement Faible (0); Age Élevé (59),N/A
45,27520,1,3,24,259212,0.26,2,478,1,,,0.42,Taux endettement Faible (0); Age Élevé (45),N/A
33,26869,0,2,105,370377,0.61,4,641,1,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (33)
32,10039,0,4,121,199065,0.82,1,739,0,,,0.43,N/A,Taux endettement Élevé (1); Age Faible (32)
64,26281,1,11,351,166295,0.09,4,374,1,,,0.37,Taux endettement Faible (0); Age Élevé (64),N/A
68,15442,1,24,79,294009,0.28,4,589,1,,,0.44,Taux endettement Faible (0); Age Élevé (68),N/A
61,13252,0,11,285,215180,0.21,1,856,0,,,0.46,Taux endettement Faible (0); Age Élevé (61),N/A
69,32586,0,12,274,466865,0.8,2,443,1,,,0.45,Age Élevé (69),Taux endettement Élevé (1)
20,22568,0,23,130,53026,0.93,4,507,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (20)
54,25810,0,11,121,99037,0.08,3,571,1,,,0.42,Taux endettement Faible (0); Age Élevé (54),N/A
68,6551,2,24,179,462423,0.38,3,714,0,,,0.45,Taux endettement Faible (0); Age Élevé (68),N/A
24,17625,1,15,186,167938,0.91,1,696,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (24)
